bin,red,green,blue
0,0,0,1.03842E-05
1,2.07684E-05,0,4.15369E-05
2,0.000103842,8.30737E-05,0.000446521
3,0.000882658,0.000851506,0.002087227
4,0.00325026,0.003312565,0.00635514
5,0.004423676,0.004485981,0.010166147
6,0.00463136,0.004610592,0.012845275
7,0.005285566,0.005088266,0.01674974
8,0.005514019,0.005306334,0.018400831
9,0.006168224,0.005991693,0.018951194
10,0.00694704,0.006832814,0.01992731
11,0.008203531,0.009231568,0.019688474
12,0.008161994,0.013229491,0.018213915
13,0.00933541,0.013873313,0.017694704
14,0.008805815,0.014755971,0.016915888
15,0.009190031,0.015503634,0.015711319
16,0.009158879,0.016323988,0.014641745
17,0.009657321,0.018431983,0.012762201
18,0.011516096,0.018390447,0.012731049
19,0.011786085,0.017196262,0.011225337
20,0.012170301,0.015472482,0.010841121
21,0.012544133,0.013790239,0.010332295
22,0.011941848,0.01219107,0.010218069
23,0.011962617,0.010851506,0.010415369
24,0.010353063,0.009688474,0.009646937
25,0.009200415,0.008909657,0.009449637
26,0.008213915,0.008120457,0.009190031
27,0.007352025,0.007995846,0.008774663
28,0.006562825,0.00694704,0.009086189
29,0.005347871,0.006697819,0.010093458
30,0.00549325,0.006573209,0.010820353
31,0.005306334,0.006240914,0.010623053
32,0.005150571,0.006126687,0.010924195
33,0.004485981,0.005617861,0.010404984
34,0.004392523,0.005347871,0.009719626
35,0.004382139,0.005254413,0.009750779
36,0.003634476,0.004974039,0.009356179
37,0.003613707,0.004807892,0.009252336
38,0.003613707,0.004620976,0.009117342
39,0.003167186,0.004745587,0.009937695
40,0.003198339,0.00470405,0.010695742
41,0.002938733,0.004652129,0.01113188
42,0.002564901,0.004610592,0.010560748
43,0.002793354,0.004662513,0.01026999
44,0.002949117,0.00430945,0.010384216
45,0.003104881,0.004735202,0.010051921
46,0.002419522,0.004683281,0.010758048
47,0.002471443,0.00556594,0.010508827
48,0.002481828,0.005306334,0.010623053
49,0.002751817,0.005659398,0.009698858
50,0.002793354,0.00596054,0.01046729
51,0.002492212,0.005991693,0.010654206
52,0.002637591,0.00536864,0.009563863
53,0.003001038,0.005430945,0.009003115
54,0.002762201,0.006531672,0.008515057
55,0.002523364,0.006303219,0.008951194
56,0.002699896,0.006126687,0.008120457
57,0.002596054,0.006147456,0.007518172
58,0.002564901,0.006479751,0.00635514
59,0.00271028,0.006645898,0.005680166
60,0.002575286,0.007175493,0.005659398
61,0.002284528,0.007642783,0.005607477
62,0.002461059,0.00748702,0.005223261
63,0.002440291,0.008110073,0.005617861
64,0.002450675,0.007725857,0.006344756
65,0.002419522,0.008016615,0.005514019
66,0.002897196,0.008193146,0.006064382
67,0.002668744,0.00874351,0.006178609
68,0.002855659,0.008338525,0.006635514
69,0.002637591,0.007258567,0.006168224
70,0.002845275,0.00694704,0.005991693
71,0.002668744,0.006573209,0.006199377
72,0.002866044,0.006542056,0.006614746
73,0.002814123,0.006604361,0.006812046
74,0.003322949,0.007071651,0.006168224
75,0.003354102,0.00701973,0.006085151
76,0.003811007,0.007320872,0.006095535
77,0.003935618,0.007694704,0.007403946
78,0.004382139,0.00867082,0.008182762
79,0.003966771,0.008182762,0.009055036
80,0.003987539,0.007466251,0.010186916
81,0.00430945,0.00728972,0.008961578
82,0.00482866,0.006728972,0.008224299
83,0.004350987,0.006479751,0.00721703
84,0.004641745,0.00623053,0.006022845
85,0.00569055,0.006064382,0.004963655
86,0.006272066,0.006313603,0.004589823
87,0.006085151,0.00615784,0.003831776
88,0.006666667,0.005628245,0.003322949
89,0.007424714,0.005607477,0.002814123
90,0.007518172,0.005908619,0.002367601
91,0.007632399,0.006137072,0.002481828
92,0.007175493,0.005981308,0.002450675
93,0.006905504,0.006417445,0.001858775
94,0.005472482,0.006479751,0.001775701
95,0.005649013,0.007248183,0.001568017
96,0.005617861,0.006988577,0.001214953
97,0.005784008,0.007113188,0.001017653
98,0.006168224,0.007559709,0.000913811
99,0.006760125,0.007455867,0.000986501
100,0.006562825,0.007788162,0.000809969
101,0.007113188,0.008172378,0.000571132
102,0.006708204,0.007518172,0.000633437
103,0.007082035,0.007673936,0.00066459
104,0.006656282,0.007300104,0.000498442
105,0.006739356,0.006323988,0.000353063
106,0.006375909,0.007331256,0.000353063
107,0.006780893,0.007757009,0.000311526
108,0.006365524,0.008463136,0.000238837
109,0.006438214,0.008598131,0.000259605
110,0.006531672,0.008006231,0.000311526
111,0.006926272,0.006718588,0.000290758
112,0.007071651,0.005160955,0.000176532
113,0.007268951,0.003852544,0.000218069
114,0.00741433,0.003239875,0.000166147
115,0.006988577,0.002762201,0.000155763
116,0.008006231,0.002242991,0.000207684
117,0.007632399,0.002159917,0.000124611
118,0.008130841,0.002014538,0.000124611
119,0.007185877,0.001817238,8.30737E-05
120,0.006780893,0.001858775,0.000145379
121,0.006053998,0.001547248,0.000176532
122,0.005669782,0.001142264,0.000176532
123,0.005244029,0.000976116,0.000228453
124,0.00482866,0.000944964,0.000207684
125,0.004724818,0.000841121,0.000114226
126,0.004984424,0.000498442,0.000218069
127,0.005150571,0.000446521,0.000228453
128,0.004807892,0.000238837,0.000228453
129,0.005202492,0.0001973,0.000186916
130,0.005649013,0.000228453,0.000186916
131,0.005628245,0.000207684,0.000207684
132,0.005784008,0.000249221,0.000249221
133,0.005410177,0.000207684,0.000238837
134,0.00556594,0.000249221,0.000176532
135,0.006303219,0.000218069,0.000249221
136,0.00536864,0.000166147,0.000321911
137,0.006240914,0.000228453,0.000228453
138,0.006770509,0.000238837,0.000290758
139,0.007715472,0.000321911,0.000207684
140,0.008047767,0.000228453,0.000280374
141,0.008286604,0.000249221,0.000373832
142,0.008836968,0.000176532,0.00046729
143,0.009356179,0.000301142,0.000602285
144,0.009252336,0.0001973,0.000913811
145,0.007954309,0.00026999,0.001516096
146,0.007300104,0.000186916,0.002076843
147,0.006282451,0.000353063,0.003001038
148,0.005545171,0.000519211,0.004143302
149,0.006126687,0.000488058,0.005867082
150,0.006199377,0.000612669,0.006905504
151,0.006812046,0.000716511,0.004485981
152,0.007995846,0.001640706,0.002606438
153,0.009833853,0.00231568,0.000976116
154,0.009044652,0.00403946,0.000571132
155,0.006479751,0.005223261,0.000560748
156,0.004610592,0.006739356,0.000477674
157,0.002616822,0.006645898,0.000456906
158,0.001744548,0.00344756,0.000456906
159,0.001505711,0.00172378,0.000737279
160,0.001225337,0.000602285,0.001090343
161,0.000913811,0.000612669,0.001775701
162,0.000944964,0.000415369,0.003437175
163,0.001079958,0.000415369,0.005327103
164,0.00184839,0.000716511,0.006905504
165,0.003021807,0.000965732,0.007964694
166,0.004672897,0.001910696,0.008328141
167,0.006905504,0.003260644,0.008390447
168,0.008037383,0.004922118,0.007673936
169,0.008141225,0.006770509,0.006957425
170,0.008795431,0.007892004,0.005908619
171,0.00815161,0.007964694,0.004859813
172,0.007030114,0.008920042,0.003541018
173,0.005929387,0.008006231,0.003167186
174,0.00529595,0.007165109,0.002201454
175,0.003811007,0.006178609,0.000996885
176,0.002751817,0.005638629,0.000674974
177,0.002222222,0.00423676,0.00086189
178,0.001360332,0.002731049,0.000965732
179,0.000955348,0.00165109,0.001619938
180,0.001609553,0.001152648,0.001879543
181,0.002170301,0.001007269,0.001048806
182,0.001422638,0.001682243,0.000456906
183,0.000674974,0.002305296,0.000166147
184,0.000238837,0.001183801,3.11526E-05
185,6.23053E-05,0.000539979,1.03842E-05
186,1.03842E-05,0.000166147,0
187,0,3.11526E-05,0
188,0,1.03842E-05,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
